time,V(vc),V(vo1),V(vo2),V(vo1)-V(vo2)
0.00E+00,0.00E+00,3.45E+00,3.45E+00,0.00E+00
9.47E-06,2.98E-02,3.44E+00,3.44E+00,0.00E+00
1.89E-05,5.95E-02,3.44E+00,3.44E+00,0.00E+00
2.84E-05,8.91E-02,3.44E+00,3.44E+00,0.00E+00
3.79E-05,1.19E-01,3.44E+00,3.44E+00,0.00E+00
4.73E-05,1.48E-01,3.44E+00,3.44E+00,0.00E+00
5.68E-05,1.77E-01,3.44E+00,3.44E+00,0.00E+00
6.63E-05,2.07E-01,3.44E+00,3.44E+00,0.00E+00
8.39E-05,2.61E-01,3.44E+00,3.44E+00,0.00E+00
1.01E-04,3.14E-01,3.44E+00,3.44E+00,0.00E+00
1.19E-04,3.65E-01,3.44E+00,3.44E+00,0.00E+00
1.37E-04,4.16E-01,3.44E+00,3.44E+00,0.00E+00
1.54E-04,4.65E-01,3.43E+00,3.43E+00,0.00E+00
1.72E-04,5.13E-01,3.43E+00,3.43E+00,0.00E+00
1.89E-04,5.60E-01,3.43E+00,3.43E+00,0.00E+00
2.07E-04,6.05E-01,3.43E+00,3.43E+00,0.00E+00
2.19E-04,6.34E-01,3.43E+00,3.43E+00,0.00E+00
2.24E-04,6.48E-01,3.43E+00,3.43E+00,0.00E+00
2.30E-04,6.62E-01,3.43E+00,3.43E+00,0.00E+00
2.36E-04,6.76E-01,3.43E+00,3.43E+00,0.00E+00
2.42E-04,6.89E-01,3.43E+00,3.43E+00,0.00E+00
2.48E-04,7.02E-01,3.43E+00,3.43E+00,0.00E+00
2.60E-04,7.28E-01,3.43E+00,3.43E+00,0.00E+00
2.71E-04,7.53E-01,3.43E+00,3.43E+00,0.00E+00
2.83E-04,7.77E-01,3.43E+00,3.43E+00,0.00E+00
2.89E-04,7.88E-01,3.43E+00,3.43E+00,0.00E+00
2.95E-04,7.99E-01,3.43E+00,3.43E+00,0.00E+00
3.01E-04,8.10E-01,3.43E+00,3.43E+00,0.00E+00
3.07E-04,8.21E-01,3.43E+00,3.43E+00,0.00E+00
3.12E-04,8.31E-01,3.43E+00,3.43E+00,0.00E+00
