vd,V(vo1)-V(vo2)
-2.000000000000000e-002,1.647902e-002
-1.990000000000000e-002,1.512074e-002
-1.980000000000000e-002,1.376629e-002
-1.970000000000000e-002,1.241183e-002
-1.960000000000000e-002,1.105714e-002
-1.950000000000000e-002,9.702921e-003
-1.940000000000000e-002,8.348227e-003
-1.930000000000000e-002,6.993771e-003
-1.920000000000000e-002,5.639315e-003
-1.910000000000000e-002,4.284859e-003
-1.900000000000000e-002,2.930164e-003
-1.890000000000000e-002,1.575947e-003
-1.880000000000000e-002,2.212524e-004
-1.870000000000000e-002,-1.133204e-003
-1.860000000000000e-002,-2.487659e-003
-1.850000000000000e-002,-3.842115e-003
-1.840000000000000e-002,-5.196810e-003
-1.830000000000000e-002,-6.551266e-003
-1.820000000000000e-002,-7.905722e-003
-1.810000000000000e-002,-9.260416e-003
-1.800000000000000e-002,-1.061487e-002
-1.790000000000000e-002,-1.196957e-002
-1.780000000000000e-002,-1.332378e-002
-1.770000000000000e-002,-1.467848e-002
-1.760000000000000e-002,-1.603317e-002
-1.750000000000000e-002,-1.738763e-002
-1.740000000000000e-002,-1.874232e-002
-1.730000000000000e-002,-2.009702e-002
-1.720000000000000e-002,-2.145147e-002
-1.710000000000000e-002,-2.280593e-002
-1.700000000000000e-002,-2.416062e-002
-1.690000000000000e-002,-2.551508e-002
-1.680000000000000e-002,-2.686977e-002
-1.670000000000000e-002,-2.822447e-002
-1.660000000000000e-002,-2.957916e-002
-1.650000000000000e-002,-3.093362e-002
-1.640000000000000e-002,-3.228831e-002
-1.630000000000000e-002,-3.364301e-002
-1.620000000000000e-002,-3.499770e-002
-1.610000000000000e-002,-3.635216e-002
-1.600000000000000e-002,-3.770685e-002
-1.590000000000000e-002,-3.906155e-002
-1.580000000000000e-002,-4.041624e-002
-1.570000000000000e-002,-4.177094e-002
-1.560000000000000e-002,-4.312563e-002
-1.550000000000000e-002,-4.448009e-002
-1.540000000000000e-002,-4.583478e-002
-1.530000000000000e-002,-4.718947e-002
-1.520000000000000e-002,-4.854417e-002
-1.510000000000000e-002,-4.989886e-002
-1.500000000000000e-002,-5.125356e-002
-1.490000000000000e-002,-5.260825e-002
-1.480000000000000e-002,-5.396271e-002
-1.470000000000000e-002,-5.531740e-002
-1.460000000000000e-002,-5.667210e-002
-1.450000000000000e-002,-5.802703e-002
-1.440000000000000e-002,-5.938172e-002
-1.430000000000000e-002,-6.073642e-002
-1.420000000000000e-002,-6.209111e-002
-1.410000000000000e-002,-6.344581e-002
-1.400000000000000e-002,-6.480050e-002
-1.390000000000000e-002,-6.615520e-002
-1.380000000000000e-002,-6.751013e-002
-1.370000000000000e-002,-6.886482e-002
-1.360000000000000e-002,-7.021952e-002
-1.350000000000000e-002,-7.157421e-002
-1.340000000000000e-002,-7.292891e-002
-1.330000000000000e-002,-7.428384e-002
-1.320000000000000e-002,-7.563853e-002
-1.310000000000000e-002,-7.699323e-002
-1.300000000000000e-002,-7.834792e-002
-1.290000000000000e-002,-7.970285e-002
-1.280000000000000e-002,-8.105755e-002
-1.270000000000000e-002,-8.241224e-002
-1.260000000000000e-002,-8.376694e-002
-1.250000000000000e-002,-8.512187e-002
-1.240000000000000e-002,-8.647656e-002
-1.230000000000000e-002,-8.783126e-002
-1.220000000000000e-002,-8.918619e-002
-1.210000000000000e-002,-9.054112e-002
-1.200000000000000e-002,-9.189582e-002
-1.190000000000000e-002,-9.325075e-002
-1.180000000000000e-002,-9.460545e-002
-1.170000000000000e-002,-9.596014e-002
-1.160000000000000e-002,-9.731507e-002
-1.150000000000000e-002,-9.866977e-002
-1.140000000000000e-002,-1.000245e-001
-1.130000000000000e-002,-1.013796e-001
-1.120000000000000e-002,-1.027343e-001
-1.110000000000000e-002,-1.040890e-001
-1.100000000000000e-002,-1.054440e-001
-1.090000000000000e-002,-1.067986e-001
-1.080000000000000e-002,-1.081536e-001
-1.070000000000000e-002,-1.095085e-001
-1.060000000000000e-002,-1.108632e-001
-1.050000000000000e-002,-1.122181e-001
-1.040000000000000e-002,-1.135728e-001
-1.030000000000000e-002,-1.149278e-001
-1.020000000000000e-002,-1.162827e-001
-1.010000000000000e-002,-1.176376e-001
-1.000000000000000e-002,-1.189923e-001
-9.900000000000001e-003,-1.203470e-001
-9.800000000000000e-003,-1.217022e-001
-9.700000000000000e-003,-1.230569e-001
-9.600000000000001e-003,-1.244118e-001
-9.500000000000000e-003,-1.257665e-001
-9.400000000000000e-003,-1.271217e-001
-9.299999999999999e-003,-1.284764e-001
-9.200000000000000e-003,-1.298313e-001
-9.100000000000000e-003,-1.311860e-001
-8.999999999999999e-003,-1.325412e-001
-8.900000000000000e-003,-1.338959e-001
-8.800000000000001e-003,-1.352508e-001
-8.699999999999999e-003,-1.366057e-001
-8.600000000000000e-003,-1.379607e-001
-8.500000000000001e-003,-1.393154e-001
-8.400000000000000e-003,-1.406705e-001
-8.300000000000000e-003,-1.420255e-001
-8.200000000000001e-003,-1.433802e-001
-8.100000000000000e-003,-1.447351e-001
-8.000000000000000e-003,-1.460900e-001
-7.900000000000001e-003,-1.474450e-001
