Freq.;V(vd)-V(vc))/I(Vd);Phase
1.00000000000000e+001;8.82025956425367e+001;1.79999475532318e+002
1.02329299228075e+001;8.82025956425193e+001;1.79999463315896e+002
1.04712854805090e+001;8.82025956425011e+001;1.79999450814917e+002
1.07151930523761e+001;8.82025956424821e+001;1.79999438022754e+002
1.09647819614319e+001;8.82025956424622e+001;1.79999424932622e+002
1.12201845430196e+001;8.82025956424413e+001;1.79999411537582e+002
1.14815362149688e+001;8.82025956424195e+001;1.79999397830531e+002
1.17489755493953e+001;8.82025956423966e+001;1.79999383804202e+002
1.20226443461741e+001;8.82025956423726e+001;1.79999369451159e+002
1.23026877081238e+001;8.82025956423475e+001;1.79999354763789e+002
1.25892541179417e+001;8.82025956423213e+001;1.79999339734307e+002
1.28824955169313e+001;8.82025956422938e+001;1.79999324354743e+002
1.31825673855641e+001;8.82025956422650e+001;1.79999308616944e+002
1.34896288259165e+001;8.82025956422348e+001;1.79999292512564e+002
1.38038426460288e+001;8.82025956422032e+001;1.79999276033064e+002
1.41253754462275e+001;8.82025956421701e+001;1.79999259169708e+002
1.44543977074593e+001;8.82025956421355e+001;1.79999241913554e+002
1.47910838816821e+001;8.82025956420993e+001;1.79999224255452e+002
1.51356124843621e+001;8.82025956420613e+001;1.79999206186040e+002
1.54881661891248e+001;8.82025956420215e+001;1.79999187695738e+002
1.58489319246111e+001;8.82025956419799e+001;1.79999168774741e+002
1.62181009735893e+001;8.82025956419363e+001;1.79999149413017e+002
1.65958690743756e+001;8.82025956418907e+001;1.79999129600301e+002
1.69824365246174e+001;8.82025956418428e+001;1.79999109326088e+002
1.73780082874937e+001;8.82025956417928e+001;1.79999088579627e+002
1.77827941003892e+001;8.82025956417404e+001;1.79999067349920e+002
1.81970085860998e+001;8.82025956416855e+001;1.79999045625708e+002
1.86208713666287e+001;8.82025956416280e+001;1.79999023395475e+002
1.90546071796325e+001;8.82025956415679e+001;1.79999000647434e+002
1.94984459975804e+001;8.82025956415049e+001;1.79998977369522e+002
1.99526231496888e+001;8.82025956414389e+001;1.79998953549398e+002
2.04173794466953e+001;8.82025956413698e+001;1.79998929174433e+002
2.08929613085404e+001;8.82025956412974e+001;1.79998904231701e+002
2.13796208950223e+001;8.82025956412217e+001;1.79998878707978e+002
2.18776162394955e+001;8.82025956411424e+001;1.79998852589732e+002
2.23872113856834e+001;8.82025956410593e+001;1.79998825863113e+002
2.29086765276777e+001;8.82025956409723e+001;1.79998798513952e+002
2.34422881531992e+001;8.82025956408812e+001;1.79998770527747e+002
2.39883291901949e+001;8.82025956407858e+001;1.79998741889659e+002
2.45470891568503e+001;8.82025956406860e+001;1.79998712584505e+002
2.51188643150958e+001;8.82025956405814e+001;1.79998682596745e+002
2.57039578276886e+001;8.82025956404719e+001;1.79998651910482e+002
2.63026799189538e+001;8.82025956403573e+001;1.79998620509443e+002
2.69153480392691e+001;8.82025956402372e+001;1.79998588376980e+002
2.75422870333816e+001;8.82025956401115e+001;1.79998555496056e+002
2.81838293126445e+001;8.82025956399798e+001;1.79998521849237e+002
2.88403150312660e+001;8.82025956398419e+001;1.79998487418682e+002
2.95120922666638e+001;8.82025956396976e+001;1.79998452186137e+002
3.01995172040201e+001;8.82025956395464e+001;1.79998416132921e+002
3.09029543251359e+001;8.82025956393882e+001;1.79998379239917e+002
3.16227766016838e+001;8.82025956392224e+001;1.79998341487565e+002
3.23593656929628e+001;8.82025956390489e+001;1.79998302855848e+002
3.31131121482591e+001;8.82025956388672e+001;1.79998263324282e+002
3.38844156139202e+001;8.82025956386768e+001;1.79998222871908e+002
3.46736850452531e+001;8.82025956384775e+001;1.79998181477277e+002
3.54813389233575e+001;8.82025956382689e+001;1.79998139118442e+002
3.63078054770101e+001;8.82025956380504e+001;1.79998095772942e+002
3.71535229097172e+001;8.82025956378216e+001;1.79998051417796e+002
3.80189396320561e+001;8.82025956375821e+001;1.79998006029486e+002
3.89045144994280e+001;8.82025956373312e+001;1.79997959583946e+002
3.98107170553497e+001;8.82025956370685e+001;1.79997912056551e+002
4.07380277804112e+001;8.82025956367935e+001;1.79997863422100e+002
4.16869383470335e+001;8.82025956365055e+001;1.79997813654808e+002
4.26579518801592e+001;8.82025956362038e+001;1.79997762728286e+002
4.36515832240165e+001;8.82025956358880e+001;1.79997710615533e+002
4.46683592150962e+001;8.82025956355573e+001;1.79997657288919e+002
4.57088189614874e+001;8.82025956352111e+001;1.79997602720167e+002
4.67735141287197e+001;8.82025956348485e+001;1.79997546880347e+002
4.78630092322638e+001;8.82025956344688e+001;1.79997489739850e+002
4.89778819368445e+001;8.82025956340712e+001;1.79997431268380e+002
5.01187233627271e+001;8.82025956336549e+001;1.79997371434934e+002
5.12861383991364e+001;8.82025956332189e+001;1.79997310207788e+002
5.24807460249772e+001;8.82025956327625e+001;1.79997247554479e+002
5.37031796370252e+001;8.82025956322845e+001;1.79997183441787e+002
5.49540873857624e+001;8.82025956317839e+001;1.79997117835718e+002
5.62341325190348e+001;8.82025956312598e+001;1.79997050701488e+002
5.75439937337156e+001;8.82025956307110e+001;1.79996982003501e+002
5.88843655355588e+001;8.82025956301363e+001;1.79996911705332e+002
6.02559586074357e+001;8.82025956295345e+001;1.79996839769708e+002
6.16595001861481e+001;8.82025956289044e+001;1.79996766158488e+002
6.30957344480192e+001;8.82025956282446e+001;1.79996690832643e+002
6.45654229034654e+001;8.82025956275537e+001;1.79996613752234e+002
6.60693448007595e+001;8.82025956268301e+001;1.79996534876391e+002
6.76082975391980e+001;8.82025956260726e+001;1.79996454163293e+002
6.91830970918935e+001;8.82025956252793e+001;1.79996371570147e+002
7.07945784384136e+001;8.82025956244487e+001;1.79996287053158e+002
7.24435960074988e+001;8.82025956235788e+001;1.79996200567516e+002
7.41310241300916e+001;8.82025956226680e+001;1.79996112067365e+002
7.58577575029182e+001;8.82025956217143e+001;1.79996021505781e+002
7.76247116628690e+001;8.82025956207156e+001;1.79995928834746e+002
7.94328234724279e+001;8.82025956196699e+001;1.79995834005125e+002
8.12830516164097e+001;8.82025956185748e+001;1.79995736966639e+002
8.31763771102669e+001;8.82025956174282e+001;1.79995637667836e+002
8.51138038202374e+001;8.82025956162275e+001;1.79995536056067e+002
8.70963589956078e+001;8.82025956149702e+001;1.79995432077456e+002
8.91250938133743e+001;8.82025956136537e+001;1.79995325676872e+002
9.12010839355907e+001;8.82025956122752e+001;1.79995216797900e+002
9.33254300796988e+001;8.82025956108316e+001;1.79995105382811e+002
9.54992586021433e+001;8.82025956093201e+001;1.79994991372531e+002
9.77237220955808e+001;8.82025956077372e+001;1.79994874706611e+002
1.00000000000000e+002;8.82025956060798e+001;1.79994755323192e+002
