vd,V(vo1)-V(vo2)
-2.000000000000000e-002,5.254059e-001
-1.990000000000000e-002,5.240479e-001
-1.980000000000000e-002,5.226936e-001
-1.970000000000000e-002,5.213394e-001
-1.960000000000000e-002,5.199852e-001
-1.950000000000000e-002,5.186310e-001
-1.940000000000000e-002,5.172768e-001
-1.930000000000000e-002,5.159223e-001
-1.920000000000000e-002,5.145683e-001
-1.910000000000000e-002,5.132141e-001
-1.900000000000000e-002,5.118599e-001
-1.890000000000000e-002,5.105054e-001
-1.880000000000000e-002,5.091512e-001
-1.870000000000000e-002,5.077970e-001
-1.860000000000000e-002,5.064425e-001
-1.850000000000000e-002,5.050883e-001
-1.840000000000000e-002,5.037341e-001
-1.830000000000000e-002,5.023797e-001
-1.820000000000000e-002,5.010254e-001
-1.810000000000000e-002,4.996712e-001
-1.800000000000000e-002,4.983168e-001
-1.790000000000000e-002,4.969625e-001
-1.780000000000000e-002,4.956083e-001
-1.770000000000000e-002,4.942539e-001
-1.760000000000000e-002,4.928997e-001
-1.750000000000000e-002,4.915452e-001
-1.740000000000000e-002,4.901910e-001
-1.730000000000000e-002,4.888368e-001
-1.720000000000000e-002,4.874823e-001
-1.710000000000000e-002,4.861281e-001
-1.700000000000000e-002,4.847734e-001
-1.690000000000000e-002,4.834192e-001
-1.680000000000000e-002,4.820647e-001
-1.670000000000000e-002,4.807105e-001
-1.660000000000000e-002,4.793561e-001
-1.650000000000000e-002,4.780018e-001
-1.640000000000000e-002,4.766474e-001
-1.630000000000000e-002,4.752929e-001
-1.620000000000000e-002,4.739385e-001
-1.610000000000000e-002,4.725842e-001
-1.600000000000000e-002,4.712298e-001
-1.590000000000000e-002,4.698753e-001
-1.580000000000000e-002,4.685209e-001
-1.570000000000000e-002,4.671667e-001
-1.560000000000000e-002,4.658122e-001
-1.550000000000000e-002,4.644575e-001
-1.540000000000000e-002,4.631033e-001
-1.530000000000000e-002,4.617488e-001
-1.520000000000000e-002,4.603946e-001
-1.510000000000000e-002,4.590399e-001
-1.500000000000000e-002,4.576855e-001
-1.490000000000000e-002,4.563313e-001
-1.480000000000000e-002,4.549766e-001
-1.470000000000000e-002,4.536221e-001
-1.460000000000000e-002,4.522679e-001
-1.450000000000000e-002,4.509132e-001
-1.440000000000000e-002,4.495587e-001
-1.430000000000000e-002,4.482045e-001
-1.420000000000000e-002,4.468498e-001
-1.410000000000000e-002,4.454954e-001
-1.400000000000000e-002,4.441409e-001
-1.390000000000000e-002,4.427865e-001
-1.380000000000000e-002,4.414318e-001
-1.370000000000000e-002,4.400773e-001
-1.360000000000000e-002,4.387231e-001
-1.350000000000000e-002,4.373684e-001
-1.340000000000000e-002,4.360139e-001
-1.330000000000000e-002,4.346595e-001
-1.320000000000000e-002,4.333050e-001
-1.310000000000000e-002,4.319503e-001
-1.300000000000000e-002,4.305959e-001
-1.290000000000000e-002,4.292412e-001
-1.280000000000000e-002,4.278870e-001
-1.270000000000000e-002,4.265323e-001
-1.260000000000000e-002,4.251778e-001
-1.250000000000000e-002,4.238231e-001
-1.240000000000000e-002,4.224687e-001
-1.230000000000000e-002,4.211142e-001
-1.220000000000000e-002,4.197598e-001
-1.210000000000000e-002,4.184051e-001
-1.200000000000000e-002,4.170506e-001
-1.190000000000000e-002,4.156959e-001
-1.180000000000000e-002,4.143412e-001
-1.170000000000000e-002,4.129870e-001
-1.160000000000000e-002,4.116323e-001
-1.150000000000000e-002,4.102778e-001
-1.140000000000000e-002,4.089231e-001
-1.130000000000000e-002,4.075685e-001
-1.120000000000000e-002,4.062140e-001
-1.110000000000000e-002,4.048593e-001
-1.100000000000000e-002,4.035046e-001
-1.090000000000000e-002,4.021502e-001
-1.080000000000000e-002,4.007955e-001
-1.070000000000000e-002,3.994412e-001
-1.060000000000000e-002,3.980865e-001
-1.050000000000000e-002,3.967319e-001
-1.040000000000000e-002,3.953774e-001
-1.030000000000000e-002,3.940227e-001
-1.020000000000000e-002,3.926680e-001
-1.010000000000000e-002,3.913133e-001
-1.000000000000000e-002,3.899589e-001
-9.900000000000001e-003,3.886042e-001
-9.800000000000000e-003,3.872495e-001
-9.700000000000000e-003,3.858950e-001
-9.600000000000001e-003,3.845403e-001
-9.500000000000000e-003,3.831856e-001
-9.400000000000000e-003,3.818309e-001
-9.299999999999999e-003,3.804765e-001
-9.200000000000000e-003,3.791218e-001
-9.100000000000000e-003,3.777671e-001
-8.999999999999999e-003,3.764124e-001
-8.900000000000000e-003,3.750579e-001
-8.800000000000001e-003,3.737032e-001
-8.699999999999999e-003,3.723485e-001
-8.600000000000000e-003,3.709939e-001
